1,"Goroka Airport","Goroka","Papua New Guinea","GKA","AYGA",-6.0817,145.3920,5282,10,"U"
2,"Madang Airport","Madang","Papua New Guinea","MAG","AYMD",-5.2071,145.7890,20,10,"U"
3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU","AYMH",-5.8268,144.2960,5388,10,"U"
4,"Nadzab Airport","Nadzab","Papua New Guinea","LAE","AYNZ",-6.5698,146.7260,239,10,"U"
5,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","POM","AYPY",-9.4434,147.2200,146,10,"U"
6,"Wewak International Airport","Wewak","Papua New Guinea","WWK","AYWK",-3.5838,143.6690,19,10,"U"
7,"Narsarsuaq Airport","Narssarssuaq","Greenland","UAK","BGBW",61.1605,-45.4260,112,-3,"E"
8,"Godthaab / Nuuk Airport","Godthaab","Greenland","GOH","BGGH",64.1909,-51.6781,283,-3,"E"
9,"Kangerlussuaq Airport","Sondrestrom","Greenland","SFJ","BGSF",67.0122,-50.7116,165,-3,"E"
10,"Thule Air Base","Thule","Greenland","THU","BGTL",76.5312,-68.7032,251,-4,"E"
11,"Akureyri Airport","Akureyri","Iceland","AEY","BIAR",65.6600,-18.0727,6,0,"N"
12,"Egilsstaðir Airport","Egilsstadir","Iceland","EGS","BIEG",65.2833,-14.4014,76,0,"N"
13,"Hornafjörður Airport","Hofn","Iceland","HFN","BIHN",64.2956,-15.2272,24,0,"N"
14,"Húsavík Airport","Husavik","Iceland","HZK","BIHU",65.9523,-17.4260,48,0,"N"
15,"Ísafjörður Airport","Isafjordur","Iceland","IFJ","BIIS",66.0581,-23.1353,8,0,"N"
16,"Keflavik International Airport","Keflavik","Iceland","KEF","BIKF",63.9850,-22.6056,171,0,"N"
17,"Patreksfjörður Airport","Patreksfjordur","Iceland","PFJ","BIPA",65.5558,-23.9650,11,0,"N"
18,"Reykjavik Airport","Reykjavik","Iceland","RKV","BIRK",64.1300,-21.9406,48,0,"N"
19,"Siglufjörður Airport","Siglufjordur","Iceland","SIJ","BISI",66.1333,-18.9167,10,0,"N"
20,"Vestmannaeyjar Airport","Vestmannaeyjar","Iceland","VEY","BIVM",63.4243,-20.2789,326,0,"N"
21,"Sault Ste Marie Airport","Sault Sainte Marie","Canada","YAM","CYAM",46.4850,-84.5094,630,-5,"A"
22,"Winnipeg / St. Andrews Airport","Winnipeg","Canada","","CYAV",50.0564,-97.0325,760,-6,"A"
